|Desolate, thought so|,|*0|
|could be a plan..|,|                        /* FIXME: pass the correct state value */|
|Yes, I'm sure it'll be a very short discussion|,|sabdfl:  about Proactive Security?  (*first time here*)|
|sabdfl, but we could just stuff the links inline on that page and live with it|,|sabdfl, on the source package release, sure, but in the source *package*?|
|what date was the last commit in CVS ?|,|yes - we might be able to do better -in general-. But - will it be good enough *for this project*.|
|bob2: thanks for clearing up this issue - now I just have to figure out what the real problem is :-)|,|hypa7ia: shipping yes, but stopped taking orders for free delivery on the 11th or 12th (check the web site, maybe there is still time, but the deadline is like *now*)|
|yep.... i mail it to you... if you dont mind|,|daniels: i know ;) (who doesnt *g*)|
|and longhorn looks promising|,|but * |
|I dont know whats so weird about the kernbel images tin apt for ubuntu but vmware doesnt seem tot hink any kind of kernel souce is good for building against them.|,|source!*!*!*!|
|pao|,|work*\|
|it doesn't really matter how small that percentage is, eventually they become the bulk of the traffic.|,|Matt||, it doesn't have anything to do with whether the newbie is *able* to help  themselves, but whether they even *try*.|
|Amaranth: It's a trade-off either way.  But in general, most of the packages in debian can be found in ubuntu, and vice-versa, it's jsut version will vary (in both directions).|,|Amaranth: warty is *released*.|
|im running windows in vmware|,|do you have /dev/parport*?|
|... even if its noon...|,|aroftl, *also*?|
|it wont let me edit it|,|Warning: unknown mime-type for "/etc/fstab" -- using "application/*"|
|it wont let me edit it|,|Error: no "edit" mailcap rules found for type "application/*"|
|Treenaks: What is the best way to view the documentation then in /usr/shar/doc/apache2-doc?|,|Treenaks: I'm not able to find apachectl, do you know the location of it? I would think it would be in the /etc/apache I even did a 'find / -name apachectl*'|
|0gra: I think the difference is because of the debian vs suse that I am used to...not sure though.|,|ogra: I'm not able to find apachectl, do you know the location of it? I would think it would be in the /etc/apache I even did a 'find / -name apachectl*'|
|btw, if you guys want to make any changes to anacron, its tla archive lives at http://www.redellipse.net/code/debian|,|(*hint* *hint* ACPI *hint* *hint*)|
|brettcar: well it's how i ended up with my name in the linux kernel... got Rusty drunk at a charity T-shirt auction.. and he then promised to put the name of whoever won the auction's name into the kernel if the bid went over $1000|,|brettcar: in net/core/netfilter.c - /* FIXME: Stuart Young's name appears gratuitously. */|
|i suspect i need to do something with the makefile included|,|any recommendation of tool/app for burning music? /*just like nero*/|
|dannoblip: how about audio cd? good?|,|btw, can i use k3b in gnome? /*newbie*/|
|so when i plugin ubuntu find it and what next|,|yes it is *99***#|
|cd is what i'm trying|,|cdrom and sndcard work fine in windows ... but still I hear nothing :*(|
|will do.|,|karat: apt-cache search '.*'|
|GammaRay: ok, one more try, wish me luck!|,|man, can't get hsf modem drivers to load for cr*p|
|tensor: why are you logging in as root to begin with?|,|*morning*?|
|eim: I get horrible-sounding audio out of it with a default kernel|,|eim: doing *what*?|
|bob2: How can I match something inside ' ' using sed? Thanks.|,|bob2: Something like dc_smarthost='*'|
|instead of "radeon"?|,|*x|
|E: Broken packages|,|totem is a piece of sh*t|
|okay, nothing has changes|,|*d|
|tolstoy: or burnig device...but there are no categories yet it seems....|,|tolstoy: this would be the best place if complete.....(you can always add your HW *hint* *hint*)|
|nafallo: that's one jumbo hd|,|magneto: /*a clip was supposed to be playing during the capture*/|
|it was having a cry before|,|hackeron - i tried knoppix, but it was an older distro (v 3.3, kernel 2.4*)|
|jdub: i855crt?|,|*desktop icon*?|
|my megahutrz have been stoeled|,|*cough*(|
|wtf|,|no really did the maintanor forget to make new package sence 199*?|
|jordi: what about me :(|,|gruberman: *what*?|
|bob2: to apt-get them|,|*s|
|Gcc: hack what?|,|Gcc: edit *what*?|
|But it's only copy of standard debian docs|,|Our students usually don't have access to internet (*shame to the university*)|
|hmm|,|what about libpolyp*?|
|so it sucks|,|Cannot open '/dev/sg*'|
|HrdwrBoB: seems mako doesn't.. in the CD news thingy he put the url http://shipit.ubunutlinux.org/ .. doh!|,|ogra: you can use chown to do both. 'chown $USER:$USER .ICE*'|
|type in a pass|,|turn it back to '*'|
|ok|,|haha it doesn't do sh*t|
|that's an odd number|,|768 = 256*3|
|dieman: sadly the crap imake system won't parallelise|,|dieman: *nice*.|
|fabbione: it's an academic network; copying shit is just fine.  We won't notice until you start going >|,|amu: *prod*?|
|although you might be able to make a huge multiselect slightly less scary in gtk than in newt|,|(linux-image-*)|
